comp_code_emp;employee_code_emp;employee_name_emp;GEN(M_F);age
1;9875;Dawson Crawford;M;25
ELMO;206;Bryce Bennett;F;28
83;29417;Robert Lewis;M;24
83;18879;Terence Buck;M;35
83;18883;Kevin Walker;M;35
83;30696;Freddy Guerra;M;26
83;24864;Samuel Clark;M;28
83;24866;Jonathan Thompson;M;23
ELMO;26528;Chase Bailey;F;33
83;9371;Benjamin Gonzalez;M;37
83;16834;Dylan Lopez;M;20
83;24407;Bryant Pearson;M;33
1;27261;Brent Delgado;M;23
1;24213;Josiah Hunt;M;38
1;30681;Alonso Singleton;M;25
83;31823;Vaughn Lynn;M;18
83;33029;Kara Coleman;F;21
ELMO;26734;Mark Bell;M;24
ELMO;25379;Trevor Cooper;M;31
83;26193;Jacob Smith;M;38
1;8477;Luke Parker;M;38
83;31290;Hamza Lozano;M;34
83;25322;Michael Johnson;M;30
83;25648;Noah Harris;M;34
83;23007;Christopher Jones;M;25
83;18876;Joseph Garcia;M;24
83;23198;Andrew Davis;M;18
83;31961;Jalon Sanford;M;22
83;26830;Daniel Rodriguez;M;22
83;27127;Joshua Brown;M;25
1;28000;Elijah Mitchell;M;23
1;28537;Maximilian Hines;M;23
1;28507;Deven Farmer;M;19
1;30802;Anton Brennan;M;23
1;31887;Isaak Spence;M;24
1;29182;Rodolfo Acosta;M;22
1;27810;Steven Carter;M;18
1;31358;Mikel Arias;M;21
1;27040;Andres Henry;M;23
1;28129;Ahmad Adkins;M;20
1;25014;Mario Simpson;M;19
2;30157;Cesar Porter;M;18
2;30399;Dillon Jimenez;M;24
2;28165;Derick Davenport;M;22
ELMO;31038;Austen Sawyer;M;21
83;25634;Nicholas Miller;M;32
1;32162;Andrea Chaney;F;30
1;33116;Carmen Patel;F;24
1;30441;Nelson Cummings;M;38
83;30367;Alexander Jackson;M;42
129;31148;Tristian Ware;M;36
129;31956;Rey McPherson;M;34
129;32921;Savanna Chavez;F;32
1;28484;Aron Petersen;M;27
1;29631;Kane Bryan;M;30
1;29733;Scott Olson;M;23
1;32458;Audrey Scott;F;18
