comp_code;comp_name;employee_id;employee_name;date;func_code;func;salary
83;DM Company Head Quarters;26193;Jacob Smith;01/01/2022 00:00;25;Lawyer;6335,56
83;DM Company Head Quarters;25322;Michael Johnson;01/01/2022 00:00;202;Tax and Accounting Analyst;2619,35
83;DM Company Head Quarters;27602;Matthew Williams;01/01/2022 00:00;109;Senior Payroll Department Analyst;1221,67
83;DM Company Head Quarters;27127;Joshua Brown;01/01/2022 00:00;13;Engineering Assistant;4000
83;DM Company Head Quarters;23007;Christopher Jones;01/01/2022 00:00;238;Financial Analyst;3012,52
83;DM Company Head Quarters;25634;Nicholas Miller;01/01/2022 00:00;200;Legal Analyst;1549,28
83;DM Company Head Quarters;23198;Andrew Davis;01/01/2022 00:00;13;Engineering Assistant;3000
83;DM Company Head Quarters;18876;Joseph Garcia;01/01/2022 00:00;13;Engineering Assistant;3266,67
83;DM Company Head Quarters;26830;Daniel Rodriguez;01/01/2022 00:00;13;Engineering Assistant;3000
83;DM Company Head Quarters;28590;William Wilson;01/01/2022 00:00;64;Accounting Assistant I;2500
83;DM Company Head Quarters;29765;Brandon Martinez;01/01/2022 00:00;111;Administrative Assistant;1500
83;DM Company Head Quarters;12346;John Anderson;01/01/2022 00:00;64;Accounting Assistant I;2500
83;DM Company Head Quarters;29648;Zachary Taylor;01/01/2022 00:00;43;Payroll Department Assistant;1600
83;DM Company Head Quarters;15966;Anthony Hernandez;01/01/2022 00:00;75;Maintenance Assistant;1430,07
83;DM Company Head Quarters;25434;James Moore;01/01/2022 00:00;64;Accounting Assistant I;2500
83;DM Company Head Quarters;29060;Justin Martin;01/01/2022 00:00;84;Purchaser;4300
83;DM Company Head Quarters;30367;Alexander Jackson;01/01/2022 00:00;237;Safety and Environmental Coordinator;5612,9
83;DM Company Head Quarters;24866;Jonathan Thompson;01/01/2022 00:00;124;Payroll Department Manager;5000
83;DM Company Head Quarters;18441;Austin White;01/01/2022 00:00;207;Administrative Manager;4200
83;DM Company Head Quarters;16834;Dylan Lopez;01/01/2022 00:00;29;Civil Engineer;3500
83;DM Company Head Quarters;9371;Benjamin Gonzalez;01/01/2022 00:00;29;Civil Engineer;5500
83;DM Company Head Quarters;25648;Noah Harris;01/01/2022 00:00;203;Accounting Manager;5500
83;DM Company Head Quarters;24864;Samuel Clark;01/01/2022 00:00;124;Payroll Department Manager;1388,26
83;DM Company Head Quarters;29417;Robert Lewis;01/01/2022 00:00;224;Strategies Manager;4209,68
83;DM Company Head Quarters;13719;Nathan Robinson;01/01/2022 00:00;250;Asset and Warehouse Manager;2372,71
83;DM Company Head Quarters;18883;Kevin Walker;01/01/2022 00:00;36;Financial Manager;5567,78
83;DM Company Head Quarters;28767;Thomas Perez;01/01/2022 00:00;11;Young Apprentice;606
83;DM Company Head Quarters;29836;Jose Hall;01/01/2022 00:00;11;Young Apprentice;606
83;DM Company Head Quarters;29838;Kyle Young;01/01/2022 00:00;11;Young Apprentice;606
83;DM Company Head Quarters;29886;Caleb Allen;01/01/2022 00:00;11;Young Apprentice;606
83;DM Company Head Quarters;29837;Jason Sanchez;01/01/2022 00:00;11;Young Apprentice;
